"filename", "language", "Go", "Go Checksum File", "Go Module File", "Markdown", "comment", "blank", "total"
"d:\Programming\Webdev\BackendProgramming\go-masterclass\README.md", "Markdown", 0, 0, 0, 10, 0, 3, 13
"d:\Programming\Webdev\BackendProgramming\go-masterclass\app\main.go", "Go", 27, 0, 0, 0, 0, 9, 36
"d:\Programming\Webdev\BackendProgramming\go-masterclass\configs\db.go", "Go", 88, 0, 0, 0, 0, 27, 115
"d:\Programming\Webdev\BackendProgramming\go-masterclass\configs\majors.go", "Go", 139, 0, 0, 0, 0, 20, 159
"d:\Programming\Webdev\BackendProgramming\go-masterclass\controllers\admin_controller.go", "Go", 1, 0, 0, 0, 0, 0, 1
"d:\Programming\Webdev\BackendProgramming\go-masterclass\controllers\auth_controller.go", "Go", 79, 0, 0, 0, 0, 31, 110
"d:\Programming\Webdev\BackendProgramming\go-masterclass\controllers\class_controller.go", "Go", 27, 0, 0, 0, 0, 8, 35
"d:\Programming\Webdev\BackendProgramming\go-masterclass\controllers\course_controller.go", "Go", 67, 0, 0, 0, 0, 28, 95
"d:\Programming\Webdev\BackendProgramming\go-masterclass\controllers\krs_controller.go", "Go", 14, 0, 0, 0, 0, 8, 22
"d:\Programming\Webdev\BackendProgramming\go-masterclass\controllers\student_controller.go", "Go", 1, 0, 0, 0, 0, 2, 3
"d:\Programming\Webdev\BackendProgramming\go-masterclass\docs\DOCUMENTATION.md", "Markdown", 0, 0, 0, 351, 0, 13, 364
"d:\Programming\Webdev\BackendProgramming\go-masterclass\go.mod", "Go Module File", 0, 0, 40, 0, 0, 3, 43
"d:\Programming\Webdev\BackendProgramming\go-masterclass\go.sum", "Go Checksum File", 0, 102, 0, 0, 0, 1, 103
"d:\Programming\Webdev\BackendProgramming\go-masterclass\helpers\bcrpyt.go", "Go", 11, 0, 0, 0, 0, 6, 17
"d:\Programming\Webdev\BackendProgramming\go-masterclass\helpers\gin.go", "Go", 22, 0, 0, 0, 0, 7, 29
"d:\Programming\Webdev\BackendProgramming\go-masterclass\helpers\jwt.go", "Go", 26, 0, 0, 0, 0, 10, 36
"d:\Programming\Webdev\BackendProgramming\go-masterclass\helpers\res\response.go", "Go", 27, 0, 0, 0, 0, 6, 33
"d:\Programming\Webdev\BackendProgramming\go-masterclass\helpers\status\status.go", "Go", 11, 0, 0, 0, 0, 2, 13
"d:\Programming\Webdev\BackendProgramming\go-masterclass\helpers\utils.go", "Go", 101, 0, 0, 0, 0, 32, 133
"d:\Programming\Webdev\BackendProgramming\go-masterclass\middlewares\api_key.go", "Go", 16, 0, 0, 0, 0, 7, 23
"d:\Programming\Webdev\BackendProgramming\go-masterclass\middlewares\auth.go", "Go", 60, 0, 0, 0, 1, 21, 82
"d:\Programming\Webdev\BackendProgramming\go-masterclass\models\admin.go", "Go", 7, 0, 0, 0, 0, 1, 8
"d:\Programming\Webdev\BackendProgramming\go-masterclass\models\base.go", "Go", 16, 0, 0, 0, 0, 3, 19
"d:\Programming\Webdev\BackendProgramming\go-masterclass\models\class.go", "Go", 10, 0, 0, 0, 0, 2, 12
"d:\Programming\Webdev\BackendProgramming\go-masterclass\models\course.go", "Go", 11, 0, 0, 0, 0, 1, 12
"d:\Programming\Webdev\BackendProgramming\go-masterclass\models\krs.go", "Go", 8, 0, 0, 0, 0, 2, 10
"d:\Programming\Webdev\BackendProgramming\go-masterclass\models\lecturer.go", "Go", 7, 0, 0, 0, 0, 1, 8
"d:\Programming\Webdev\BackendProgramming\go-masterclass\models\student.go", "Go", 25, 0, 0, 0, 0, 5, 30
"d:\Programming\Webdev\BackendProgramming\go-masterclass\routes\auth_route.go", "Go", 22, 0, 0, 0, 0, 6, 28
"d:\Programming\Webdev\BackendProgramming\go-masterclass\routes\class_route.go", "Go", 5, 0, 0, 0, 0, 3, 8
"d:\Programming\Webdev\BackendProgramming\go-masterclass\routes\course_route.go", "Go", 22, 0, 0, 0, 0, 5, 27
"d:\Programming\Webdev\BackendProgramming\go-masterclass\routes\krs_route.go", "Go", 20, 0, 0, 0, 0, 5, 25
"d:\Programming\Webdev\BackendProgramming\go-masterclass\routes\router.go", "Go", 9, 0, 0, 0, 0, 3, 12
"d:\Programming\Webdev\BackendProgramming\go-masterclass\routes\student_route.go", "Go", 7, 0, 0, 0, 0, 4, 11
"d:\Programming\Webdev\BackendProgramming\go-masterclass\services\auth_services.go", "Go", 120, 0, 0, 0, 0, 44, 164
"d:\Programming\Webdev\BackendProgramming\go-masterclass\services\class_service.go", "Go", 87, 0, 0, 0, 0, 22, 109
"d:\Programming\Webdev\BackendProgramming\go-masterclass\services\course_services.go", "Go", 104, 0, 0, 0, 0, 24, 128
"d:\Programming\Webdev\BackendProgramming\go-masterclass\services\krs_service.go", "Go", 14, 0, 0, 0, 0, 8, 22
"Total", "-", 1211, 102, 40, 361, 1, 383, 2098